"Countryname","Country"," ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_AV","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","  ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","   ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_ALT","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_SQ","EMERGING_RISK_FOOD_SECURITY_SQ","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_SQ","EMERGING_RISK_FISCAL_SQ","EMERGING_RISK_NATURAL_HAZARDS_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_SQ","    ","TOTAL_EMERGING_COMPOUND_RISK_SCORE_SQ"
"Grenada","GRD",NA,0.0258198889747319,10,1.99673063347899,NA,6.8657153405925,10,NA,0.000666666666667481,0.0752772652709541,0.0752772652709541,NA,6.12563891831689,10,0.573677539857247,6.8657153405925,NA,1
"Guatemala","GTM",NA,2.56931057646194,6.94920731483386,10,NA,8.31089773151454,9.14461406161575,NA,5.00761325145926,6.26772366972252,6.11202052155309,6.8118568,6.72199245465855,4.4,5.3098525782136,8.69090990021281,NA,1
"Guyana","GUY",NA,3.16773553731875,1.77518567164594,1.66625453460956,NA,6.69552349821026,7.19703803771918,NA,9.62434413349814,8.75214259481643,8.58617936352344,6.83013306629887,4.891809034077,0,0,7.59444011356226,NA,2
"Honduras","HND",NA,3.41427110998413,7.3890896682792,10,NA,8.48444550945062,10,NA,8.45154254728515,9.20869154657707,8.46575931626798,4.96538703587162,8.44361054877812,5.47722557505166,4.64278567140284,8.48444550945062,NA,3
"Croatia","HRV",NA,3.12832875052967,0,1.55905225820602,NA,5.77893847952745,7.93492047615872,NA,4.82167724226449,5.71078768647548,4.01302902919521,3.22634984234962,7.03782330326856,10,10,5.14777267724601,NA,3
"Haiti","HTI",NA,0.81119126705587,2.37608065240745,10,NA,9.75079087326471,9.50779226541424,NA,0.967815409397196,4.28174419288837,2.7298678818504,10,8.55968835956938,10,9.21886465212461,10,NA,5
"Hungary","HUN",NA,5.60134133144852,7.57896076443615,1.91800438407613,NA,5.21201323663036,9.22958206990897,NA,9.75900072948531,5.65685424949238,5.58827364526407,2.22394584514699,3.5718305857898,10,0,5.0072183251705,NA,1
"Indonesia","IDN",NA,1.65061041895997,4.63652666103009,4.12500541996666,NA,6.54127483737776,7.18231784075442,NA,3.57198090967009,3.57238082543067,3.09401177081081,3.61190816891218,3.37941882742436,10,10,7.7184498498796,NA,3
"India","IND",NA,3.07785796890812,3.79173522528959,0.981210813659244,NA,4.41555671303555,2.77686554861686,NA,8.45154254728515,6.85565460040104,6.30255900188488,4.73157136443393,2.43533322930813,10,6.08365019011407,2.55113060332126,NA,1
"Ireland","IRL",NA,5.1580263290132,6.09843279601285,0.296222783942635,NA,0.687822905654331,0.936738692094679,NA,6.90065559342353,4.69041575982343,3.89633703695301,0,1.73259232729683,10,0,0.21051636579141,NA,1
"Iran","IRN",NA,2.96040426997674,2.08410920470706,3.07112526738585,NA,8.77067913454564,9.51438470161644,NA,4.41588043316391,7.27374731483023,5.34102870224818,2.74065116186289,0,10,10,8.99172196132572,NA,4
"Iraq","IRQ",NA,3.18435085116381,9.82656324366696,4.16503508896488,NA,10,10,NA,6.90065559342353,9.40212741883453,7.81036461670414,2.50692729821131,5.74635866429225,10,10,10,NA,4
"Iceland","ISL",NA,0.376405526000277,5.86950565376967,0.46910208082577,NA,0.499735793921385,1.48343103053384,NA,4.64004310324806,5.81868910126179,4.68975525047905,1.36194992322504,7.19599638531635,10,0,0.192474915167839,NA,2
"Israel","ISR",NA,4.77764356435444,5.85639176429115,5.05477052621151,NA,8.37930581596392,10,NA,6.90065559342353,6.73795221116921,5.59722934978931,0,5.47893801078994,10,0,8.37930581596392,NA,2
"Italy","ITA",NA,3.20917986938901,6.01447957392205,3.09744264680727,NA,4.32456156992721,7.93492047615872,NA,6.90065559342353,5.25357021462548,4.36415048295186,0,5.68068383696318,10,0,3.85224033265012,NA,1
"Jamaica","JAM",NA,3.24816902613727,7.58322344027754,1.74267888495466,NA,5.6605635938012,6.79386347086455,NA,7.01488213932146,7.6531972777022,7.58432815366239,3.47480049205492,9.11492433042348,10,3.4554065772797,5.11876290216124,NA,3
"Jordan","JOR",NA,4.05126880180943,6.06378076847299,1.75238070501526,NA,5.80155609853954,4.79372272342898,NA,10,7.46993975879324,7.46993975879324,0,8.49726370267848,1.2,8.17824027749984,4.7271769009458,NA,3
"Japan","JPN",NA,0.958262363864042,5.90233229647601,2.5014492084095,NA,2.27273460501495,8.09233871623754,NA,1.42745194231506,2.20389266007736,1.70645889558545,1.84701439508831,5.56430232371259,0,10,2.38196533670166,NA,1
"Kazakhstan","KAZ",NA,2.19322962817045,7.67845606728273,1.92170348913879,NA,6.18843457139448,8.1200569393454,NA,4.92761895558377,6.46970964241384,5.37362513390364,2.4663817618457,3.90753900041137,10,0,6.05660194399128,NA,1
"Kenya","KEN",NA,0.825340724657987,4.91839411885488,8.35933062388817,NA,9.50406173439769,9.87297187025207,NA,1.03141142315253,3.30223589477824,2.17344526456006,7.25106245,7.26998000675691,10,10,9.56500714595277,NA,5
"Kyrgyzstan","KGZ",NA,1.01843398911031,7.91109036505238,2.05414016382977,NA,9.30990204209091,9.30990204209091,NA,2.21133443874959,3.1396087108337,3.02571059032805,3.19881685801003,8.02201473760061,8.36660026534076,10,8.66742760333285,NA,4
"Cambodia","KHM",NA,0.0969640266095746,8.82901753453313,2.03016001317147,NA,8.89153611250165,9.58393717904348,NA,0.113389341902748,6.63324958071079,0.835750169680465,5.39482139183037,9.76650476806392,5.47722557505166,10,8.91270658641907,NA,3
"Kiribati","KIR",NA,NA,1.46153846153846,1,NA,1.20894104965398,1.20894104965398,NA,NA,NA,NA,NA,3.82300727378128,10,0,0,NA,1
