"","Countryname","Country","EMERGING_RISK_COVID_RESPONSE_CAPACITY_AV","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_ALT","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_SQ","EMERGING_RISK_FOOD_SECURITY_SQ","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_SQ","EMERGING_RISK_FISCAL_SQ","EMERGING_RISK_NATURAL_HAZARDS_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_SQ","TOTAL_EMERGING_COMPOUND_RISK_SCORE_SQ","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","RELIABILITY_SCORE_EXISTING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"142","Ireland","IRL",5.1580263290132,6.09843279601285,0.296222783942635,0.687822905654331,6.90065559342353,4.69041575982343,3.89633703695301,0,1.73259232729683,10,0,0.21051636579141,1,2.2,0,0.300187617260786,NA,1.45833333333333,0.25,0.505050505050505,0,0,10,1.94461925739459,10,10,0,0.087747937726725,3,3,0.936738692094679,0.2,0.4
"143","Israel","ISR",4.77764356435444,5.85639176429115,5.05477052621151,8.37930581596392,6.90065559342353,6.73795221116921,5.59722934978931,0,5.47893801078994,10,0,8.37930581596392,2,4.54,0,3.00187617260788,NA,3.125,5.375,7.02127659574468,0,0,10,2.0704845814978,10,10,0,10,4,4,10,0.1,0.4
"144","Italy","ITA",3.20917986938901,6.01447957392205,3.09744264680727,4.32456156992721,6.90065559342353,5.25357021462548,4.36415048295186,0,5.68068383696318,10,0,3.85224033265012,1,2.76,0,3.22701688555347,NA,2.29166666666667,2.625,2.35690235690236,0,0,10,1.44115796098175,10,10,0,6.2962962962963,3,3,7.93492047615872,0.2,0.4
"145","Japan","JPN",0.958262363864042,5.90233229647601,2.5014492084095,2.27273460501495,1.42745194231506,2.20389266007736,1.70645889558545,1.84701439508831,5.56430232371259,0,10,2.38196533670166,1,2.04,2.17703349282297,4.20262664165103,NA,2.70833333333333,5.625,0.638297872340427,0,1,2.38095238095237,1.56702328508496,0,7.36716891356067,10,8.88888888888889,1,2,8.09233871623754,0.1,0.2
"146","Jordan","JOR",4.05126880180943,6.06378076847299,1.75238070501526,5.80155609853954,10,7.46993975879324,7.46993975879324,0,8.49726370267848,1.2,8.17824027749984,4.7271769009458,3,5.58,2.53588516746411,10,NA,8.95833333333333,3,7.02127659574468,1,2,10,0,1.2,7.22034904328573,8.17824027749984,3.18264081297961,1,2,4.79372272342898,0.1,0.3
"147","Latvia","LVA",1.22184563098585,8.56264182480655,1.18927388123095,4.7535079878034,7.96819072889594,3.67747325263005,3.3637524931291,1.37573511854182,5.47893801078994,10,0,4.35373195292784,1,1.42,0.933014354066984,3.00187617260788,NA,8.54166666666667,0.125,2.69360269360269,0,1,9.52380952380948,2.02852947346339,10,10,0,7.03703703703704,2,3,8.38870492807861,0.2,0.4
"148","Liberia","LBR",0.220021999736594,2.12381072771678,2.04716939737349,9.33844095479787,2.68354423060831,5.7652489311473,4.32794855903418,2.36417033773862,9.78754372503937,0,5.04302581548929,9.31514758961977,2,6.98,9.73684210526316,10,10,5.625,2.25,9.14893617021276,2,3,4.76190476190474,2.36417033773862,0,9.57960121695575,5.04302581548929,9.48437862086223,0,1,9.53187101142692,0,0.3
"149","Lithuania","LTU",1.10186494373608,5.58317957130215,1.17173161495564,4.44649956891338,5.280872943711,5.34522483824848,3.98027873786912,2.57151650613631,3.00093793968213,10,0,4.07254333042655,1,3,2.27272727272727,0.900562851782363,NA,9.79166666666667,0,2.35690235690236,0,1,9.52380952380948,2.90958674218586,10,10,0,7.03703703703704,2,3,8.38870492807861,0.2,0.4
"150","Netherlands","NLD",3.3937187817568,7.68089187485071,0.392513335169507,1.11410778254382,6.90065559342353,0,0,0,4.82333290761804,10,0,0,1,0,0,2.32645403377111,NA,1.04166666666667,0,0,0,0,10,0.602055800293687,10,10,0,0.15406671828589,3,3,1.24123615112472,0.2,0.4
"151","New Zealand","NZL",0.158742094564982,0,1.35415882658172,2.06935405516292,1.22474487139159,5.65685424949238,1.97969280153591,1.95295943246765,6.30673126802264,0,0,0,0,3.2,1.84210526315789,3.97748592870544,NA,0,1.875,0,0,0,10,2.0704845814978,0,10,0,1.83374612760919,2,2,4.28222620561921,0.2,0.5
